Absolutes,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
Service_Area_Size,  79.66667,1047.15385,1359.40000, 265.60000, 392.84000, 711.37500, 305.00000,  24.00000,   0.00000, 584.77647, 274.56250,   0.00000,   0.00000,  66.00000,2395.27273, 153.73333, 122.77778, 746.33333,  97.00000,2329.75000, 301.00000,  32.00000, 385.00000, 605.04762, 305.40000,  93.80000,  26.00000,1080.26667,  27.00000, 127.00000, 143.00000,2391.51852,  41.00000, 280.00000, 617.15686, 350.68182,   0.00000,  30.00000, 866.10000, 429.33333,   0.00000, 246.66667,  64.00000,7505.00000,1647.68750, 596.20000, 499.85714,   0.00000, 540.79365,  89.72414,  27.00000
Service_Area_Population, 283019.67, 281656.15, 286011.20, 826084.20,1093018.96,1068796.62, 216165.00, 317779.00,      0.00, 819431.51, 612307.44,      0.00,      0.00, 338759.00,5545397.09, 195651.40, 320663.56, 708461.83, 309483.67,1937637.25, 583475.00,  94873.00, 551100.19, 849211.81, 533855.60, 137689.20,  86355.33,1247344.07,  95341.50, 388565.60, 146895.00,4664168.70,  67947.00,1785303.00,2395498.31, 552394.70,      0.00,     80.00, 837388.40,1610947.00,      0.00, 405190.17, 171544.00,1978890.00,1172842.49,1525903.20, 188380.29,      0.00, 712081.67, 193602.72,  57416.00
Passenger_Miles, 12467128.8,  3231965.7,  3484041.6, 19358817.4, 41414911.4, 31712890.4, 18629115.5,407304294.2, 19664822.0, 18680262.0, 30995914.4, 63831236.2,  3719529.5,  3379025.5,126270954.2,  6497097.4,  2661454.1,  7174319.8,  6697682.3, 46362388.9, 50429139.0, 21159504.5, 10044080.7, 18807583.7, 27951751.8,  2939259.4,   980470.9,  9377690.2,  1872558.8,  4397495.6,  1900647.0,127641754.6,  8650228.3, 30262053.6,304836712.0, 11778117.8,  3453903.2, 25753688.0, 28662130.3, 37359642.3, 21172451.8,  3180530.2,  2374620.0,  6842939.0, 20472596.7, 39589097.7, 16015799.2,  4422843.3, 26063321.4,  7452816.0,  3564819.1
Unlinked_Passenger_Trips, 1051712.8,  490710.5,  612162.6, 4332473.5, 6911701.1, 5557083.1, 4371199.8,82074061.6, 2564281.8, 3145828.5, 5660043.3,12211905.8, 1122981.0,  716840.0,19884726.1, 1019021.2,  579454.0, 1432710.9, 2064470.4,10197674.0, 7460350.2, 1003250.0, 2129353.0, 3975901.2, 5022086.5,  301919.8,  365406.6, 1921712.6,  517688.8, 1261662.8,  468824.0,11491764.3, 1355254.5, 8049863.7,64587522.3, 2422545.5,  633290.4, 5485809.7, 6060525.8, 7520935.5, 4619215.0,  691870.2,  503251.0, 1284870.9, 3370178.7, 4859746.9, 1956274.3,  915226.3, 3840202.2, 2057494.5,  916435.0
Average_Trip_Length,44.035000,13.755385, 5.710000,11.730000,10.334293,11.530500, 6.715667, 6.804000,10.962500,11.178864,11.138276, 9.798333, 6.931053, 5.125000, 7.715455, 8.027500, 8.030833,13.175625, 8.758000,11.725349,12.832000,43.335000, 8.782683,10.209630, 8.400769,19.774000, 3.314286,12.009412, 3.995000, 4.798000, 5.732000, 8.607143,11.737000,11.218000,11.197541, 9.886000, 5.764000,10.976087, 9.991096, 6.145000,12.620000,11.235385, 5.390000,11.720526,14.873659,13.255000,12.889706,12.203333,12.198000, 7.910968, 5.534286
Average_Cost_Per_Trip,72.78750,19.32692,16.82200,16.10158,17.99990,12.92250,17.16433,29.39000,32.27000,17.16739,17.07690,15.69167,12.53632,15.64000,16.66273,16.50750,18.25750,17.76500,19.54600,17.54884,20.54850,24.73000,18.28390,13.73000,18.84308,22.44200,12.73714,16.24765,14.17500,20.47600,24.57600,14.79107,26.67100,12.61500,22.57492,20.88756,43.39800,13.18696,19.71849,17.58667,32.18750,28.61462,17.43000,16.44579,19.49756,17.73400,13.51529,13.46333,16.01646,15.07903,23.89000
Average_Fares_Per_Trip,31.4850000, 1.6318182, 1.4040000, 1.8858824, 2.3050249, 2.0270000, 1.7696667, 2.6620000, 1.3150000, 1.7129630, 2.0326923, 0.9816667, 2.3511111, 1.1100000, 1.7475758, 1.9125926, 2.3200000, 1.6692857, 1.2535714, 4.3116667, 1.7870588, 9.5150000, 2.6240000, 9.0384000, 1.9646154, 1.0720000, 1.4171429, 1.7951515, 1.5825000, 1.8980000, 1.7600000, 4.1958333, 0.9800000, 2.6070000, 3.3391667, 2.4916279, 3.1820000, 2.1880952, 3.8913889, 0.9716667, 1.3600000, 2.0669231, 1.2250000, 3.4078947, 1.7511538, 2.3500000, 2.6076471, 1.9900000, 1.9528125, 2.5840000, 1.9085714
Monthly_Vehicle_Hours,  6489.500,  4555.987,  4807.800, 17095.083, 16939.550, 19665.900,  8741.431,154364.050, 20355.062, 12775.199, 12509.269, 28808.403,  3417.400,  5042.792, 43295.861,  4664.018,  3105.194,  9058.078,  7738.620, 17076.471, 23023.288,  5674.042, 10324.592, 14474.160, 18652.115,  2897.800,  2070.694,  8085.699,  3041.146,  8037.033,  2180.267, 31864.994,  5597.924, 23165.162, 69717.085, 11408.997,  3691.000, 14295.747, 14515.182, 32785.250, 18087.958,  4435.000,  4786.958,  6935.300, 15265.477, 16461.442,  9419.648,  3863.722, 11899.488,  7533.653,  4829.714
Monthly_Vehicle_Miles, 111095.21,  68892.47,  70851.18, 251465.55, 258435.54, 291626.56, 127362.00,2362654.48, 334112.92, 190549.17, 214750.71, 392698.65,  48395.78,  72424.71, 653560.02,  70086.47,  49124.67, 128443.39,  93101.79, 246111.33, 343418.77, 110852.17, 143403.64, 213439.38, 280908.53,  51858.82,  26758.94, 118542.67,  37851.81, 111297.95,  32730.10, 614912.53,  97105.15, 296317.73,1035295.39, 157427.37,  57263.50, 194238.85, 202943.51, 349803.03, 240409.07,  67643.53,  56703.00, 105577.30, 235223.87, 310967.92, 151327.79,  53904.25, 187700.24, 103178.49,  64678.45
Max_Vehicles, 41.56250, 24.44872, 19.08333, 93.76037, 88.45574, 91.29306, 41.73056,626.72222,111.35417, 54.37973, 57.43103,140.56944, 22.67083, 29.50000,204.51010, 20.45833, 26.32639, 45.76562, 23.68889, 84.58523,104.32500, 21.83333, 60.31911, 70.96605, 62.76923, 19.60000, 12.25397, 41.97222, 12.50000, 38.11667, 10.76667,185.80060, 34.73485, 80.11667,273.02596, 49.85926, 15.23333, 65.62500, 65.23536,324.65278, 72.52500, 20.24359, 21.00000, 34.46250, 73.95169,107.38333, 55.23843, 24.50000, 94.25256, 34.91667, 20.35714
